category,user,tweet,time
government,langemarc,Last day before French elections. Government has reinforced security around voting stations. Quite but tense Saturday. #ElectionsFrance,Sat Apr 22 08:17:34 +0000 2017
government,shaheem64,"RT @JamesMelville: The main reason why we have a Tory government and Brexit:-
Millions of people reading the wrong newspapers on a daily ba…",Sat Apr 22 08:17:34 +0000 2017
government,EasterKeaster21,"RT @wisermonkeys: The SNP government created
Police Scotland and the Scottish Police Authority
Ever wondered why?
https://t.co/bAzcxJ6YrS
#…",Sat Apr 22 08:17:33 +0000 2017
government,Donengene,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sat Apr 22 08:17:32 +0000 2017
government,bnk2nde,"RT @OgbeniDipo: Sirs @MBuhari @ProfOsinbajo, I recommend @DrJoeAbah as Secretary to the Federal Government. He is more than capable. Please…",Sat Apr 22 08:17:31 +0000 2017
government,BreakingHappy,RT @david_j_roth: When you try to give an anonymous quote but are the only person alive who speaks the language in the way you do. https://…,Sat Apr 22 08:17:26 +0000 2017
government,IBTimesUK,8 people electrocuted in bakery looting incident in Venezuela as anti-government unrest continues https://t.co/wKdUxO3Sdf,Sat Apr 22 08:17:26 +0000 2017
government,LovejoyLaw,"RT @bbusa617: Montana Dems Vote Against Bill Banning Sharia Law, Call It 'Repugnant' https://t.co/71srqFadJE 

GET JUDGES IN PLACE
BAN SHAR…",Sat Apr 22 08:17:25 +0000 2017
government,abiolaagboola,"RT @OgbeniDipo: Sirs @MBuhari @ProfOsinbajo, I recommend @DrJoeAbah as Secretary to the Federal Government. He is more than capable. Please…",Sat Apr 22 08:17:25 +0000 2017
government,twftt,RT @david_j_roth: When you try to give an anonymous quote but are the only person alive who speaks the language in the way you do. https://…,Sat Apr 22 08:17:24 +0000 2017
government,PathanAsmakhan,Pat on the back!PM Narendra Modi honours babus for implementing government’s priority programmes. #TransformingIndia https://t.co/zg19jhlMus,Sat Apr 22 08:17:24 +0000 2017
government,rpegram316,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sat Apr 22 08:17:23 +0000 2017
government,KevinRN_NC_USA,"@realDonaldTrump Mr. President, stop the islam n our schools &amp; all government entities.this is a true war 4 the hearts and minds of america",Sat Apr 22 08:17:23 +0000 2017
government,MrNCFC71,"RT @MichaelPDeacon: Jeremy Corbyn and the ""socialism fans"" (aka the Gap Year Left). https://t.co/MTtoTSZMnA https://t.co/wxeYS9vCt5",Sat Apr 22 08:17:23 +0000 2017
government,hstrey1,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sat Apr 22 08:17:23 +0000 2017
government,GreenEyedYankee,RT @brianklaas: It's a huge irony that Trump is threatening to shut down the government if Congress won't pay for a wall that he said Mexic…,Sat Apr 22 08:17:23 +0000 2017
government,KristyPandora,Boom!   It is over snowflakes! https://t.co/mpn7ylG2EC,Sat Apr 22 08:17:22 +0000 2017
government,underfloorbeef,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sat Apr 22 08:17:20 +0000 2017
government,kingofstace,RT @david_j_roth: When you try to give an anonymous quote but are the only person alive who speaks the language in the way you do. https://…,Sat Apr 22 08:17:19 +0000 2017
government,Caz_D_Vagabond,RT @dataeditor: This story would not have been possible without the Office of Congressional Ethics. https://t.co/T1bDc7RmrE,Sat Apr 22 08:17:19 +0000 2017
government,HristoGambostin,RT @ChrisMurphyCT: Trump now says he will shut down the government if he doesn't get funding for the wall that Mexico was going to pay for.…,Sat Apr 22 08:17:17 +0000 2017
government,kat_arden,"RT @neiltyson: Show me a Nation with a science-hostile government, and I'll show you a society with failing health, wealth, &amp; security.",Sat Apr 22 08:17:17 +0000 2017
government,Tulletilsynet,RT @david_j_roth: When you try to give an anonymous quote but are the only person alive who speaks the language in the way you do. https://…,Sat Apr 22 08:17:17 +0000 2017
government,PenybontPlaid,RT @JonathanPlaid: My fellow countrymen we have six weeks to show Wales will not submit to a Tory London Government intent on destructing W…,Sat Apr 22 08:17:16 +0000 2017
government,SusanMunro13,RT @Arron_banks: While the foreign aid can't be dispensed quickly enough the government cut benefits for war vets with disabilities and the…,Sat Apr 22 08:17:16 +0000 2017
government,Maria_MillerMP,RT @Commonswomequ: @Maria_MillerMP comments on Govt response to our report with @HoCPetitions on high heels and workplace dress codes  http…,Sat Apr 22 08:17:15 +0000 2017
