category,user,tweet,time
customer,BankingFinTech,NEW #JOB: Customer Service Representative. CIBC [Canada]  #BankingJobs #FinTechJobs https://t.co/48Vg5KbeYt,Fri Apr 21 22:34:49 +0000 2017
customer,jobbojcom,Customer Service Representative https://t.co/YAkGMUTdR3 #job #career #jobsearch #jobs #USA,Fri Apr 21 22:34:49 +0000 2017
customer,MyRepublicJobs,"If you're looking for work in #WestBerlin, NJ, check out this #job: https://t.co/o8YMDEvDRF #Teller… https://t.co/KADpI9PxZa",Fri Apr 21 22:34:46 +0000 2017
customer,tmj_sfo_cstsrv,We're #hiring! Read about our latest #job opening here: Customer Service Representative - Part-Time Hours - https://t.co/n9xxJ0avIu,Fri Apr 21 22:34:45 +0000 2017
customer,averar33,Day 2 with @verizon and I'm loving the customer service with them. And oh yeah I'm loving my cell service also. They treat me like family,Fri Apr 21 22:34:41 +0000 2017
customer,Eddie_sltn,@TekSavvyBuzz had a wonderful call with customer service. CRTC should make it mandatory for you to train other ISPs in customer service :),Fri Apr 21 22:34:41 +0000 2017
customer,hannahmccroskey,finally gave in &amp; ordered the cover fx customer enhancer drops 😅😍,Fri Apr 21 22:34:35 +0000 2017
customer,CGFKindness,"When This Server's Hearing Aid Broke, A Customer's Unexpected Kindness Came To The Rescue https://t.co/znWbvpiKWF",Fri Apr 21 22:34:35 +0000 2017
customer,CrashNShadow96,@NECA_CS @NECA_TOYS Neca's Customer survice is impeccable thank you so much Bte this @calisurfrguy had to get a new… https://t.co/wE2QrOUjI7,Fri Apr 21 22:34:34 +0000 2017
customer,Amtrak,@Imasaythis We are very sorry for the inconvenience. Plse contact Customer Relations at 1-800-USA-RAIL 7A-10P (ET) M-F concerning issue.,Fri Apr 21 22:34:34 +0000 2017
customer,PotterySong,"Favorite quote from a customer today: ""I've made these and it doesn't matter how many you make they always take 50 hours."" Yes, yes they do.",Fri Apr 21 22:34:34 +0000 2017
customer,tgatp,@TMobile Customer service in store sucks. Guy blaming me 4 U sending my phone to store 4 pickup. Claiming I should'… https://t.co/q5TnpxQsGJ,Fri Apr 21 22:34:32 +0000 2017
customer,haydryers,Always looking forward to empowering another customer with our #AgriCompact #haydryers - for… https://t.co/Hfh37Z3REj,Fri Apr 21 22:34:31 +0000 2017
customer,EmiratesSupport,"@AvalSurjit Hi Surjit, Thank you for the kind words. We'll pass it on to our Customer Experience Team. We hope to see you on-board soon!",Fri Apr 21 22:34:31 +0000 2017
customer,OG_Design_Co,Another happy customer sharing their flag photo with me! 24x14 American Flag w/SeaBee Emblem.… https://t.co/akt1Ciw70I,Fri Apr 21 22:34:30 +0000 2017
customer,MASlipka,"RT @CNBC: BREAKING: United revises '17 exec. compensation program after ""recent events"" to tie it more to customer experience. https://t.co…",Fri Apr 21 22:34:29 +0000 2017
customer,MeccaUS,"Hahahahahahaha @ntelng is a typical Nigerian business, totally crass. But their customer service is better than… https://t.co/kzlPKbYY0A",Fri Apr 21 22:34:27 +0000 2017
customer,rashidapowell,I've had two good customer service experiences lately. One with my @Allstate rep and one at Ross.,Fri Apr 21 22:34:26 +0000 2017
customer,BankingFinTech,NEW #JOB: Customer Service Representative. CIBC [Canada]  #BankingJobs #FinTechJobs https://t.co/rfxLMzivno,Fri Apr 21 22:34:24 +0000 2017
customer,sergioa223039,@JohnLegere not happy with t-moble Been a customer for almost 12 years and they're going to pull this crap tinking about switching providers,Fri Apr 21 22:34:24 +0000 2017
customer,tmj_msp_retail,We're #hiring! Read about our latest #job opening here: Flooring Full Time Customer Service Associate I - https://t.co/IuOymndjBx #Retail,Fri Apr 21 22:34:23 +0000 2017
customer,djinnaminx,#ThingsToBeAshamedOf treating customer service employees like shit.,Fri Apr 21 22:34:23 +0000 2017
customer,tmj_lax_cstsrv,We're #hiring! Click to apply: Bilingual Customer Assistance Representative Part Time (Portuguese Speaker... - https://t.co/o1pfUvr9ox,Fri Apr 21 22:34:23 +0000 2017
customer,BrandFreek,Five ways to build brand loyalty and retain existing customers https://t.co/j0STlMgvpv,Fri Apr 21 22:34:19 +0000 2017
customer,subah81,It only takes one customer to stress me tf out,Fri Apr 21 22:34:19 +0000 2017
customer,SmylyMonroe,"RT @DRUDGE_REPORT: Man douses stranger with gas at DENNY'S, lights him on fire... https://t.co/lK5WhvY2qp",Fri Apr 21 22:34:19 +0000 2017
customer,zwelly1202,"RT @Buchi_Cent: ""All am asking is for your retweet!! My customer might be on your TL"" https://t.co/EcP3KsxRui",Fri Apr 21 22:34:18 +0000 2017
customer,lewisnicoletti,"Customer: Hi there can I have a unicorn Frappuccino?
Me: https://t.co/0YXMvKyOph",Fri Apr 21 22:34:17 +0000 2017
customer,Ayee__leslie,All I be dealing with are customer complaints.,Fri Apr 21 22:34:17 +0000 2017
customer,megalinaa,"a customer told my boss today that if i ever dye my hair a color other than red, to fire me.  Don't worry pal, the red is here to stay.",Fri Apr 21 22:34:15 +0000 2017
customer,TheRealDarky,@SwahiliSamurai Ayyee now that's what I call outstanding customer service.,Fri Apr 21 22:34:13 +0000 2017
customer,PSantavy,Major #outage of #RedHat Customer Portal services https://t.co/SLHqDhL457,Fri Apr 21 22:34:08 +0000 2017
customer,alexclune,"@coinbase hey there - customer service a bit slow right now.  High demand, totally get it.  But can you verify my business account?  Thanks!",Fri Apr 21 22:34:07 +0000 2017
customer,tylerjxscph,im at work and im here alone and theres literally nothing to do also i havent had a customer yet and its been half an hour this is great,Fri Apr 21 22:34:05 +0000 2017
customer,_Shi_Soles,RT @AsburyParkPress: Neptune City restaurant brouhaha: Is it ever OK for a business owner or staff to react this way with a customer? https…,Fri Apr 21 22:34:02 +0000 2017
customer,knilansj,"Boiled down: It's the experience, stupid! 

Focus on your customer's journey, your brand's touch points, &amp; your env… https://t.co/J3mtmXQ3YQ",Fri Apr 21 22:34:01 +0000 2017
customer,LuvMyRedSox,"@ATTCares I just had the worst customer service, I was trying to upgrade my phone and this man was incompetent.",Fri Apr 21 22:33:57 +0000 2017
customer,wellapp,@saks you have the worst worst worst customer service of all time. I wouldn't take to twitter if it weren't that awful. Horrible! Awful!,Fri Apr 21 22:33:57 +0000 2017
