category,user,tweet,time
iraq,Micheleboyd1224,RT @KamalaHarris: Just last week I was in Iraq and Jordan and I visited with Syrian refugees. 70% of all Syrian refugees are women and chil…,Sat Apr 22 12:24:55 +0000 2017
iraq,GlobalZarfati,"#Nineveh, #Mosul #Iraq map update. 

Green= completely liberated.
Orange= frontline clashes.
White= #ISIS control… https://t.co/wUc4UqJnEE",Sat Apr 22 12:24:52 +0000 2017
iraq,Ainullah110,"-
All Momineen
Type
Follow @Ainullah110
Send For Pakistan: 40404
UAE: 8080
IRAQ: 71117
Saudia: 710001
UK: 86444
Kuwait: 89887
India: 53000",Sat Apr 22 12:24:49 +0000 2017
iraq,HabBradley,"RT @WehliyeMohamed: @DavidNdii @nderi_j Mmmmh. Iraq, Egypt &amp; most ME countries had unis so many centuries ago daktari. They gave us Zero, a…",Sat Apr 22 12:24:48 +0000 2017
iraq,rangerfit,RT @iraqi_day: #Iraq Army seized a #ISIS armored personnel carrier for the ''Infiltration battalion'' in west #Mosul. https://t.co/GvSHcK13…,Sat Apr 22 12:24:41 +0000 2017
iraq,JoeEEnglish,Beautiful photo of a girl outside #Mosul by @MarkoDjurica -190k children have been displaced from the city #Iraq… https://t.co/PjHUobab2L,Sat Apr 22 12:24:33 +0000 2017
iraq,rangerfit,"RT @iraqi_day: Boom
#Iraq Rapid Response Divison Launched a powerful IRAM mounted on a Humvee in west #Mosul. https://t.co/yzX2q4TZ1W",Sat Apr 22 12:24:32 +0000 2017
iraq,TinaOrt79591465,RT @iraqi_day: Map shows #Mosul city completely surrounded and also Tal Afar is surrounded and all routes to #Syria are cut off. #Iraq http…,Sat Apr 22 12:24:27 +0000 2017
iraq,clocksstrike13,"RT @stephenWalt: US invaded Iraq, dismantled Libya, interfered w/o success in Yemen &amp; Somalia &amp; bungled I-P peace process. Yet Iran causes…",Sat Apr 22 12:24:24 +0000 2017
iraq,fightingvoice,"""Iranian dissident group has satellite imagery of clandestine work"" We've seen this movie before w Iraq. Don't let #Neocons destroy #MAGA",Sat Apr 22 12:24:21 +0000 2017
iraq,mamikaracor,RT @milkeryolcu: @HarfliBirlikler @mrubin1971 Remember that you tortured the people in Iraq then you may talk about our country. Pls explai…,Sat Apr 22 12:24:17 +0000 2017
iraq,JXMNW5riuQCehfx,#army girls nude iraq sexy old girls https://t.co/EWVyrBfvlc,Sat Apr 22 12:24:15 +0000 2017
iraq,rbl0112,"RT @goodhouses: #Iraq - second claim at #ICSID, brought by group of telecommunication investors under a multilateral investment treaty.",Sat Apr 22 12:24:03 +0000 2017
iraq,AdelineParker20,RT @TheBaghdadPostE: #Iraq's security forces liberate Seha Thaneya neighborhood in #Mosul #ISIS  https://t.co/2LbUvwAjst https://t.co/TdHnI…,Sat Apr 22 12:24:02 +0000 2017
iraq,20mbs,"RT @NickMargerrison: - Deregulate banks.

- War in Iraq

- Bail out banks

- Brand anyone who asks about immigration a bigot

@UKLabour htt…",Sat Apr 22 12:24:02 +0000 2017
iraq,sbuchbinder,RT @KamalaHarris: Just last week I was in Iraq and Jordan and I visited with Syrian refugees. 70% of all Syrian refugees are women and chil…,Sat Apr 22 12:23:59 +0000 2017
iraq,rangerfit,"RT @iraqi_day: #BREAKING
#PMU announced Abu Baker Al-#Baghdadi cousin killed in a bombing of #ISIS military headquarters in Tal Afar west #…",Sat Apr 22 12:23:57 +0000 2017
iraq,jmwhittaker95,@lukeakehurst @maxshanly So you support the White Army's military against the Soviets same as you support Blair's invasion of Iraq?,Sat Apr 22 12:23:52 +0000 2017
iraq,MBOKSR_MAGA,RT @LyndaG1963: Ahhhhhh the #Snowflakes ...send this lil nerd to Iraq to get some perspective on stress 🙄 https://t.co/kODkeCNeqF,Sat Apr 22 12:23:52 +0000 2017
iraq,jon48hanbury,RT @silver_stacker: Shame on you for being fooled by lying western criminal regime change Zionist establishment. Remember Iraq lies? https:…,Sat Apr 22 12:23:47 +0000 2017
iraq,_summerhead,"RT @lex_looper: ""The world has never seen anything like ISIS"" White Christian nations killed over 1,000,000 people in Iraq on the basis o…",Sat Apr 22 12:23:46 +0000 2017
iraq,red77angelluis,@FoxNews @GeorgeHWBush I like how bush went to iraq even though but hey that's what the American people wanted beli… https://t.co/TxphqtHxrl,Sat Apr 22 12:23:45 +0000 2017
iraq,rangerfit,"RT @iraqi_day: #BREAKING
#Iraq joint operations officially announce Al-Saha 2 district west #Mosul completely liberated by Counter Terroris…",Sat Apr 22 12:23:40 +0000 2017
